row_id,tic_id,toi_id,Disposition,RA,Dec,Tmag,Epoc,Period,Duration,Transit_Depth,Sectors,camera,ccd,star_rad,star_mass,teff,logg,SN,Qingress
40,206354655,0.01,J,355.302098,-53.694229,11.938,1325.717916,0.305067,1.273593712,122980,1,2,2,1.1192082,0.906885,5727,4.44373,28.01368,0.01635
41,309297709,0.01,J,124.542578,-63.098,10.307,1325.82048,0.453724,1.630248481,1990,1,4,3,0.708602,0.679109,4344.9,0.88,17.46556,0.032
42,306671376,0.01,J,120.430827,-69.153702,11.523,1325.706078,0.60622,2.213818445,1250,1,4,3,,,3764,,8.37742,0.12233
43,201249257,0.01,J,0.395836,-57.645638,11.958,1325.462757,0.340285,1.142540916,21420,1,2,2,1.4194919,0.958376,5413,4.40433,26.08776,0.0514
44,238892775,0.01,J,40.911264,-71.950309,9.859,1325.692966,0.482867,2.559272359,26830,1,3,4,1.09596,1.01063,5682,4.36344,26.86453,-0.27327
45,294272014,0.01,EB,108.408715,-58.105,11.339,1325.507759,0.260428,0.523335275,16500,1,4,3,1.7211541,1.16619,6299,4.12735,48.84687,0.02418
46,232081341,0.01,J,29.813238,-70.991416,11.009,1325.44914,0.145844,0.288701115,276150,1,3,4,1.1424223,0.990811,5511.5,4.29901,27.04712,0.26501
47,220558823,0.01,J,44.793807,-61.91449,10.893,1325.738607,0.541729,1.280517341,55290,1,3,4,1.4280728,1.16881,6399.3,4.24903,33.68092,0.13744
48,234527232,0.01,EB,16.208781,-65.045189,11.953,1325.78978,2.688754,3.397509554,38390,1,3,1,1.6345125,0.997062,5868,4.37386,75.50226,0.3622
49,144046734,0.01,J,336.866142,-50.548923,9.787,1325.575548,0.145839,0.303216782,4530,1,2,3,10.23882,0.742632,4812.0376,2.52,25.63578,0.26656
50,206384081,0.01,J,357.609196,-53.630738,11.525,1325.478862,0.198342,2.160944024,117660,1,2,2,1.759866,1.02244,6156,4.35469,83.53581,-1.10649
51,271809318,0.01,J,111.948463,-73.15731,11.774,1325.449957,0.137022,1.3694746,107500,1,4,2,,,5050.243,0.13628,83.67746,-0.90555
52,237911081,0.01,EB,21.990155,-62.909966,11.469,1325.69016,0.823168,2.600091372,102300,1,3,1,1.20443,1.08846,6531.6665,4.31368,240.10673,0.45764
53,167692491,0.01,J,102.576682,-63.503234,11.226,1325.678771,0.420867,2.295711642,34510,1,4,3,1.7026353,1.14798,6827,4.25402,26.35691,-0.13952
54,167304569,0.01,EB,98.019359,-67.071901,11.47,1326.989649,6.759028,3.833179959,11890,1,4,3,3.79527,,4971.98,,38.83733,0.20883
55,219145901,0.01,J,89.392614,-51.729497,9.665,1325.628769,0.272926,1.482708705,44950,1,4,4,,,4840,,34.62466,-0.06196
56,308448331,0.01,J,120.752579,-60.951752,11.536,1332.582779,7.532425,19.7048238,33580,1,4,3,1.554205,1.63044,6830.36,4.14915,11.57146,0.16972
57,167364796,0.01,J,99.222963,-68.10416,10.567,1331.697993,8.6001,12.45225679,3390,1,4,3,1.0691301,1.14189,5783.5996,4.33877,10.2963,0.21224
58,231669914,0.01,J,320.068594,-56.737335,11.662,1325.553618,0.164776,1.973199191,48540,1,2,4,1.5199783,1.12004,5781,4.29835,89.07159,-0.80029
59,238192097,0.01,EB,56.231014,-75.294188,11.919,1325.745913,1.226853,2.203624284,31790,1,3,3,,,4875.4873,,139.36291,0.42876
60,277104322,0.01,J,84.234813,-67.00184,11.757,1325.602264,0.282202,1.597579386,108610,1,4,1,1.0909394,0.807626,5015.065,4.5055,44.10495,-0.16303
61,273984867,0.01,J,30.224367,-80.443667,11.808,1325.462075,0.448994,2.930709556,51460,1,3,3,1.7595739,1.22796,6364.75,4.25611,68.51418,-0.16481
62,271999940,0.01,J,114.85737,-73.76902,11.876,1325.447324,0.564401,3.242416017,199460,1,4,2,1.8472536,1.07773,5778,4.3205,57.35306,0.44046
63,231262738,0.01,J,334.03019,-51.013475,10.874,1325.542816,0.151194,1.745202103,45510,1,2,4,1.219669,0.903053,5321.95,4.18313,67.43457,-1.15591
64,278900608,0.01,J,101.131092,-55.471969,10.264,1326.33766,14.005602,43.82520933,10690,1,4,4,0.8422353,,4485.3525,0.2,2.66785,3.00E-05
65,309628590,0.01,EB,125.725421,-62.260254,11.583,1325.503085,1.080652,1.407786973,2710,1,4,3,10.858406,,4447.532,,12.20936,0.19957
66,197758935,0.01,EB,331.39377,-41.313318,11.552,1326.357043,1.015769,3.362032867,59040,1,1,2,1.9393104,1.01368,5812.25,4.36114,72.71422,0.39649
67,159844177,0.01,J,320.498484,-38.354872,10.577,1326.099368,0.784786,2.467178835,1590,1,1,1,0.998459,0.944672,5424,4.41505,24.98652,0.40646
68,294873015,0.01,J,71.603275,-66.345998,10.035,1325.545424,0.258165,1.233058,116750,1,4,1,0.9430845,0.750249,4769.8496,4.14272,28.15075,-0.08168
69,159735013,0.01,J,319.011453,-38.499003,11.218,1326.086555,0.305001,2.726196538,20580,1,1,1,,,8868.667,,76.60766,-0.59022
70,327668243,0.01,EB,329.43763,-67.400746,10.127,1326.135956,1.542844,2.477930892,2310,1,2,1,3.703646,0.804956,5060.835,3.08281,28.45069,0.41995
71,294327923,0.01,J,108.774832,-59.299683,11.772,1326.035186,1.142819,7.528068742,63410,1,4,3,3.4319508,1.29823,6435.9,4.23328,75.71265,0.50214
72,129648263,0.01,J,321.435755,-37.084045,11.363,1326.296991,0.291694,1.022235789,31770,1,1,1,1.2605821,,5153.83,,29.77637,0.23995
73,270272344,0.01,J,333.635807,-76.942451,8.039,1325.460433,0.235598,0.930310535,230,1,3,2,2.110047,1.36771,6143,,9.36349,-0.02135
74,273572449,0.01,EB,357.135779,-76.712918,11.218,1326.74837,2.664146,2.499395211,97690,1,3,2,,,3994,,145.7062,0.42325
75,147328798,0.01,J,325.300935,-44.615909,11.427,1326.463532,0.899603,2.686070622,1090,1,1,1,0.879298,1.03878,5935,4.34325,10.71624,0.17148
76,232082938,0.01,J,30.279799,-66.652803,11.973,1325.406367,0.267874,2.134548612,21020,1,3,4,0.985651,0.935602,5390,4.42207,54.55768,0.37889
77,280833338,0.01,J,45.058313,-67.861206,11.717,1325.65491,0.334833,1.605993001,41980,1,3,4,1.4510679,1.40827,6238,4.20164,24.98795,0.02138
78,308665590,0.01,EB,121.918858,-63.554035,11.302,1326.040742,1.06884,2.209677062,5490,1,4,3,1.1400864,1.44687,6558.1797,4.19137,21.56178,0.38879
79,270246450,0.01,EB,332.81505,-74.238342,11.749,1325.569375,0.802686,2.012943843,13590,1,3,2,1.5128871,1.12122,5954.5,4.29781,100.47413,0.40328
80,261540883,0.01,J,348.400865,-75.933105,11.468,1325.783076,0.531265,1.341465376,683720,1,3,2,1.6348497,1.2696,6675,4.06846,47.78662,0.17047
81,308661229,0.01,J,121.698844,-63.83223,11.836,1325.454877,0.311762,1.162897201,1880,1,4,3,0.96731335,1.10472,5414,4.40614,16.38269,0.04003
82,177254093,0.01,J,101.612168,-73.92822,11.173,1326.284652,1.245875,6.86138247,24730,1,4,2,2.9349203,1.47581,6310.3335,3.99669,32.15083,-0.07021
83,231699095,0.01,EB,330.754918,-59.907219,11.477,1336.214595,13.149833,5.93320465,35140,1,2,1,1.4617699,1.26675,6727.5,3.97,59.30086,0.42048
84,271891374,0.01,J,112.54412,-72.927063,11.756,1325.936283,0.69231,1.819058371,8610,1,4,2,1.5861764,0.988468,5394,4.50346,9.90554,0.17179
85,270424460,0.01,J,95.565083,-79.042191,9.953,1325.609595,0.428567,3.213121083,740,1,4,2,1.5005302,1.3399,6683.045,4.14745,13.323,-0.51173
86,271503236,0.01,J,7.883522,-63.915222,11.567,1325.80865,0.409105,1.863751466,86570,1,3,1,1.3056393,1.30157,7711.6665,4.23225,42.30119,-0.12053
87,306897664,0.01,J,122.236269,-68.991653,7.175,1325.723151,0.625224,3.054344285,400,1,4,3,4.26264,2.34068,9233,3.54841,10.46842,0.04067
88,284194837,0.01,EB,105.681386,-67.795601,9.61,1325.564439,0.201026,1.089786069,660,1,4,3,1.5027375,1.12839,5893.5,4.2281,17.64404,-0.12385
89,237920541,0.01,J,56.950444,-65.313263,11.466,1325.551293,0.478264,2.744125788,41830,1,4,1,1.660191,1.12241,7126,4.29728,43.89064,-0.075
90,289793070,0.01,EB,316.963034,-26.111825,10.214,1328.080304,3.04569,2.420227102,700,1,1,4,2.0418,1.30908,6456.215,4.02,9.26322,0.19916
91,150431451,0.01,J,97.413014,-60.412854,11.867,1325.535958,0.278649,1.312369914,105690,1,4,4,1.1212788,0.871934,5131.375,4.46819,25.57666,-0.05256
92,255566698,0.01,J,96.333366,-53.492294,11.855,1325.709436,0.422792,5.660609883,3760,1,4,4,1.5499071,,6054,,32.24996,1.36004
93,147328808,0.01,J,325.280041,-44.642717,10.945,1326.501561,0.896672,11.23910205,49320,1,1,1,1.3709805,0.959159,5414.5,4.40371,57.97492,1.14869
94,259864399,0.01,J,40.449266,-67.558959,11.158,1325.634204,0.355833,1.99622313,153700,1,3,4,0.77775997,0.779083,4887.69,4.09,63.06926,0.42988
95,139285753,0.01,EB,348.045435,-45.004238,11.902,1326.050409,1.550433,1.850844898,7250,1,2,3,0.87255675,0.835819,5039.5,4.49028,25.06529,0.50152
96,270098511,0.01,J,329.446787,-25.343877,11.805,1326.175453,0.15945,1.492298928,3820,1,1,3,1.7064279,1.30871,5738,4.23008,44.56739,-0.73933
97,261235308,0.01,J,88.431955,-79.970909,10.961,1325.481044,0.116281,1.418256101,15580,1,4,2,4.46645,1.40393,6741,4.20282,85.56094,-1.10602
98,149391674,0.01,EB,84.248749,-60.28931,9.916,1325.908256,0.524024,2.064570716,2060,1,4,4,10.291285,,4812.4023,,25.59183,0.4341
99,212259610,0.01,J,308.789159,-27.923187,11.605,1326.120896,0.125168,0.018564918,20680,1,1,4,11.041237,,4720.6,,9.76217,0.3099
100,150187606,0.01,J,93.77222,-62.860317,11.546,1325.617342,0.277811,0.851368478,4380,1,4,4,4.5757885,,4933.3364,,19.81714,0.11177
101,306630834,0.01,EB,119.570295,-68.333473,11.662,1326.640083,2.137877,6.875412432,44170,1,4,3,0.931658,1.00886,5820,4.36478,293.34006,0.32451
102,237326686,0.01,J,345.764996,-60.055473,11.865,1325.614747,0.466674,2.431222204,75950,1,2,2,2.6980295,1.12004,6028.4,4.29835,25.75595,-0.10303
103,253930112,0.01,J,338.637557,-30.805702,11.911,1326.263488,0.355848,2.645117821,116440,1,1,2,1.3517923,0.979747,5794.5,4.38748,46.3834,0.40195
104,261500541,0.01,EB,335.466301,-66.260071,9.746,1326.635871,3.126429,2.391343014,25090,1,2,1,1.9821676,1.10064,5889,3.83004,92.89839,0.38501
105,212354978,0.01,J,310.490911,-26.509119,9.458,1326.392489,0.458807,1.935027699,310,1,1,4,2.809167,1.02296,5476,3.04,10.17871,-0.06958
106,270099125,0.01,J,329.727888,-24.525966,9.892,1326.058853,0.497925,3.968422416,104910,1,1,3,1.740202,0.936941,5571.5,3.87979,46.4213,0.38037
107,309257809,0.01,J,124.26355,-63.217453,9.431,1331.471165,8.614812,20.51634707,6700,1,4,3,0.632282,0.616201,3956,,11.3088,0.26123
108,140761919,0.01,EB,74.658831,-77.340518,11.811,1326.646145,1.589836,3.15359869,6630,1,4,2,1.726423,1.2539,6395.5,4.24737,52.49072,0.44616
109,280793961,0.01,J,359.339707,-64.243249,9.135,1325.446473,0.188601,1.852167437,229220,1,3,1,1.5184251,1.23265,6126,4.1726,81.45713,-0.5303
110,77427472,0.01,J,315.122553,-23.598707,10.527,1326.405644,1.092309,1.289798467,730,1,1,4,1.20177,1.08638,5670.5,4.31477,10.07836,0.21976
111,280044598,0.01,J,81.943157,-70.454904,11.678,1325.621685,0.49769,3.031768219,5790,1,4,2,1.7548171,1.8562,7991.6665,4.1122,30.05666,-0.21199
112,289950596,0.01,J,318.332635,-26.999636,11.813,1326.338011,0.917049,6.432841961,153930,1,1,4,2.9106286,1.25485,6364.5,4.24705,53.72639,0.88066
113,279161696,0.01,J,103.338688,-56.454266,11.514,1325.537089,0.290111,1.533317866,74130,1,4,4,1.1901944,,5142,,29.91635,-0.09556
114,304102181,0.01,J,27.900472,-71.910024,8.685,1325.572422,0.333355,1.171756159,390,1,3,4,1.1206442,1.13569,6037.25,4.37848,21.97319,0.12787
115,197613672,0.01,J,327.831448,-36.686001,11.158,1326.088815,0.288698,3.021490172,113440,1,1,2,1.9152162,,7178.16,,75.9138,-0.72036
116,273879358,0.01,EB,32.307882,-71.320039,11.944,1327.907142,7.580072,4.095058097,11200,1,3,4,1.014165,1.07561,5881,4.3206,48.68431,0.39762
117,321009267,0.01,J,325.310618,-41.684961,11.889,1326.055312,0.170842,1.708597676,242600,1,1,1,1.2865791,0.980253,5752,4.38708,72.00785,-0.1773
118,235015153,0.01,EB,353.418929,-62.903584,10.495,1325.810316,1.026047,2.549685753,22570,1,2,2,2.0272832,1.00232,5622.1333,3.84212,204.2065,0.41672
119,279743501,0.01,EB,51.963556,-64.842567,11.48,1325.449866,0.678757,2.474476519,3360,1,3,4,0.8680017,1.01855,5517.7676,4.35753,45.83763,0.488
120,382266319,0.01,J,82.847106,-58.202602,11.331,1325.470194,0.344263,1.996670318,659490,1,4,4,1.2865845,0.972613,5512,4.39311,53.26184,0.42012
121,425999886,0.01,J,27.07536,-66.266144,10.103,1325.535061,0.453155,2.294341891,25960,1,3,4,1.8465307,1.23641,6806.02,3.87082,27.78838,-0.20257
122,38707066,0.01,J,5.842909,-68.200889,11.787,1325.789537,0.428589,2.468775501,9430,1,3,1,0.5862721,1.0679,5930,4.32498,46.62729,-0.27398
123,55501426,0.01,J,71.793636,-61.138761,10.588,1325.748711,0.281264,0.729036288,16980,1,4,1,1.3874662,0.936406,5544,4.05347,21.09242,0.17122
124,375057695,0.01,J,100.088869,-60.700147,11.718,1325.777431,0.367556,1.970864676,40280,1,4,4,1.5242358,,6009.1,0.190806,27.23639,-0.19671
125,33735984,0.01,J,62.212771,-74.163673,11.243,1325.455471,0.439527,3.054150055,55320,1,4,2,1.505653,1.24585,7041.1196,3.94268,45.43682,0.40384
126,403189862,0.01,J,336.731101,-53.931196,11.102,1331.925199,7.973711,6.745759506,6520,1,2,4,,,4195.09,,8.84679,0.18368
127,350478928,0.01,J,85.814212,-58.7687,10.403,1325.652873,0.436934,2.79830011,475400,1,4,4,9.259092,,4727.48,,68.54747,0.4395
128,25118964,0.01,J,61.932211,-68.419762,11.994,1325.806342,1.020744,10.43780151,20850,1,4,1,,,3327,,47.63306,-0.44117
129,394722677,0.01,EB,20.480769,-84.15033,11.906,1330.508958,6.337182,3.520938319,46820,1,3,3,2.1387038,1.09555,5913,4.31005,99.16583,0.40475
130,350930534,0.01,J,90.636314,-54.130085,11.563,1325.582028,0.397936,1.993181837,3190,1,4,4,1.4701805,1.33332,6505.5,4.22274,14.07194,0.04564
131,30031180,0.01,J,73.099627,-69.333097,11.693,1325.781053,0.735001,5.995844158,13470,1,4,1,1.4232912,0.953131,5409,4.40844,50.12277,-0.55778
132,114917829,0.01,J,314.864688,-37.498803,11.926,1326.208604,0.373424,3.230774826,27520,1,1,1,1.5979608,0.985044,5418.3335,4.38329,59.57147,0.38519
133,441047471,0.01,EB,325.261224,-21.593971,11.573,1326.430534,1.159564,2.999189095,33250,1,1,3,1.6096407,1.0227,6053.4575,4.3545,55.2588,0.40391
134,441155698,0.01,J,332.670046,-25.091471,11.229,1326.279983,0.382535,2.279418955,366410,1,1,3,1.3839875,,6127.11,,47.52912,0.43706
135,393951059,0.01,J,345.607962,-40.839171,9.964,1325.777434,0.383891,2.964222034,30680,1,2,3,2.393674,1.16227,6297,3.88044,43.59806,0.37152
136,182300676,0.01,J,14.832548,-72.343571,11.976,1325.794616,0.564216,1.798810883,2830,1,3,2,1.4355339,1.61743,6378,4.15174,11.39669,0.08919
137,55649060,0.01,J,73.735234,-65.285249,10.919,1325.657423,0.273868,1.780251547,21300,1,4,1,2.5292046,1.23406,6257.6,4.15404,45.85414,0.41917
138,29781532,0.01,EB,65.013511,-67.359181,11.777,1330.013856,13.516899,5.501918569,159260,1,4,1,1.7167374,1.18624,6346.75,4.20634,61.32176,0.40513
139,79222626,0.01,J,317.533963,-48.840753,7.539,1325.52981,0.63544,2.332725658,39190,1,2,4,10.409051,0.741746,4816.3,2.07473,23.06941,0.02695
140,79222623,0.01,J,317.532463,-48.848565,8.826,1325.519898,0.63544,2.275688563,122500,1,2,4,,,8258,,22.13287,-0.01602
141,370007119,0.01,J,33.119573,-69.191338,10.449,1325.476202,0.180563,0.498137204,235640,1,3,4,1.469327,1.15155,6298,4.10133,24.96967,0.17138
142,388105183,0.01,J,55.941629,-62.324441,11.181,1325.815006,0.666472,6.412686948,86820,1,4,1,0.6076117,,4888.035,,80.00483,-0.16062
143,394560374,0.01,J,338.299331,-64.051359,11.057,1325.768634,0.409717,1.492877639,78880,1,2,1,1.64371,1.49082,8128.83,4.1802,21.1734,0.04205
144,53897274,0.01,J,328.307716,-26.860779,10.715,1326.30031,0.506957,4.337037413,5930,1,1,3,1.7739371,0.995812,5370,4.37483,61.68618,-0.86753
145,52205451,0.01,J,19.627666,-67.918054,11.286,1325.442488,0.406263,7.641319514,352670,1,3,1,4.8473797,,7170.3335,,301.52361,0.40625
146,394559789,0.01,EB,337.947571,-65.381655,11.437,1325.594689,2.832578,2.355571865,22960,1,2,1,2.0058575,1.04239,6238,3.62932,57.39543,0.40752
147,381913197,0.01,J,322.966729,-57.020253,11.677,1325.468143,0.189951,0.798067729,254820,1,2,4,1.4504373,1.00987,5784.25,4.36401,31.09879,0.00144
148,394233771,0.01,EB,24.505407,-82.228821,11.924,1325.793943,0.397424,1.807770497,23350,1,3,3,1.6594613,1.01394,5328.5,4.36095,105.75432,0.42353
149,349191372,0.01,J,108.49533,-60.380264,10.986,1325.500404,0.398818,2.653160674,49590,1,4,3,3.2003314,0.885184,4975.145,3.26282,93.99285,0.4466
150,358462028,0.01,J,118.930571,-63.055576,10.596,1325.527769,0.483638,3.417192653,8750,1,4,3,1.4914035,1.03933,5734,4.34288,61.04711,-0.24475
151,388199973,0.01,J,61.491586,-83.73562,11.796,1325.659382,0.460713,1.999346992,148030,1,3,3,2.3239803,1.14986,5975,4.28544,21.53017,-0.06671
152,382437415,0.01,EB,117.243171,-63.243389,11.709,1329.086233,4.941699,3.947033825,26660,1,4,3,2.508034,,5769.5,,45.5651,0.43363
153,425976877,0.01,J,18.151043,-64.490844,10.853,1325.770089,0.372413,2.229204632,437330,1,3,1,1.4082212,0.757258,5250,3.85841,61.24349,0.51331
154,53940202,0.01,J,328.5726,-25.506676,10.834,1326.059486,0.154513,1.638851405,104190,1,1,3,1.5507998,0.917245,5118.5,4.43604,76.40947,-0.62331
155,410465875,0.01,J,320.420658,-61.244957,11.991,1325.636796,0.470251,6.370283387,24790,1,2,1,0.75350296,,5004.99,,73.10563,-1.07772
156,92442237,0.01,J,314.33298,-33.564567,11.176,1326.724291,0.729713,5.616104756,194130,1,1,4,2.4171505,,5330.025,,50.59868,0.41374
157,404842248,0.01,EB,85.200704,-71.312898,11.136,1325.611234,0.594483,2.244862925,2230,1,4,2,1.4883431,1.66182,6068.3335,4.14447,14.57008,0.01843
158,358069227,0.01,J,38.504602,-65.609543,8.86,1325.449319,0.398806,2.082915881,94530,1,3,4,1.6640273,1.0269,5436.3267,3.95886,27.67901,-0.18968
159,425083921,0.01,J,82.894739,-67.414795,11.336,1327.139832,1.960592,8.261777841,3110,1,4,1,,,3498,,15.24698,0.33727
160,382529566,0.01,J,117.817569,-60.752869,11.964,1325.508328,0.28986,1.859857704,37300,1,4,3,1.7946993,1.29775,5940,4.23342,49.14998,0.42307
161,349572805,0.01,PC,111.752583,-63.734966,9.794,1325.581997,2.705929,3.766653168,60780,1,4,3,2.50631,2.08256,8105.5,3.94546,542.01048,0.39415
162,30267923,0.01,EB,73.90396,-69.465584,11.78,1325.69347,1.178386,6.461420386,6370,1,4,1,,,3165,,18.98441,0.54645
163,31654820,0.01,J,46.322705,-71.680168,10.605,1325.536497,0.352094,2.079438996,9400,1,3,4,1.5498848,1.00132,5684,3.97922,46.73924,-0.18589
164,441025443,0.01,J,324.152877,-22.299684,9.256,1326.259298,0.543905,3.59629986,320460,1,1,3,2.2007337,1.30347,6493,3.93954,60.75953,0.43339
165,30844604,0.01,J,75.677944,-69.340584,10.474,1325.869655,0.39286,2.073169363,35980,1,4,1,,,,,30.16221,-0.14977
166,358106170,0.01,J,48.497993,-74.544931,11.532,1325.559705,0.341354,2.584486713,108770,1,3,3,1.02424,0.962547,5363.25,4.40105,48.19721,0.39997
167,349523518,0.01,J,111.494612,-63.224281,10.822,1325.789411,0.395856,0.830822573,72590,1,4,3,1.6760004,1.0053,5863.0664,4.32053,20.04968,0.22757
168,349520046,0.01,J,111.224601,-63.66497,9.298,1325.829295,1.041862,5.699068489,8020,1,4,3,1.3135998,,7030,,27.22456,-0.05919
169,92625824,0.01,EB,315.597632,-33.499219,10.237,1327.784577,2.057868,4.629215223,53440,1,1,4,2.093671,1.27342,6941.83,4.24104,32.66761,0.40768
170,418822722,0.01,J,315.978033,-23.629579,9.891,1326.038843,0.252085,1.897474045,3520,1,1,4,1.5673788,1.13162,6498,4.29319,40.17596,0.36133
